,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
94,95,-15.595246411323078,7.1726411476902285e-09,0,1.743977424695231e-07,495,1205.0,3057,429,429,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",1.53323819313685e-05
95,96,-15.595246420702296,9.379217402738504e-09,0,1.650185250667846e-07,474,1218.0,3090,429,429,"d_q_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.0011022007493187423
96,97,-15.595246431205965,1.0503669045647257e-08,0,1.5451485602113735e-07,522,1231.0,3123,440,440,"d_q_exc_[0, 13]_[11, 12]","[[0, 13], [11, 12]]",-0.019376117060308853
97,98,-15.595246437632374,6.426409626669738e-09,0,1.480884463944676e-07,533,1244.0,3156,451,451,"d_q_exc_[0, 5]_[1, 12]","[[0, 5], [1, 12]]",-0.2980743395550253
98,99,-15.595246441657968,4.025594080303563e-09,0,1.4406285231416405e-07,571,1257.0,3189,462,462,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",-0.009681857100301823
99,100,-15.595246446340724,4.682755516682846e-09,0,1.393800967974812e-07,446,1270.0,3222,473,473,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.00548791667421105
100,101,-15.59524646522899,1.8888266950511934e-08,0,1.2049182984696927e-07,632,1283.0,3255,484,484,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",-0.03717488299241435
101,102,-15.595246470018898,4.7899071375923086e-09,0,1.1570192270937696e-07,638,1296.0,3288,495,495,"d_q_exc_[0, 13]_[1, 12]","[[0, 13], [1, 12]]",0.5302460228053479
102,103,-15.595246524413866,5.439496852943648e-08,0,6.130695417994048e-08,677,1309.0,3321,506,506,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",0.774903389382787
103,104,-15.59524652646027,2.0464039351963947e-09,0,5.926055024474408e-08,363,1322.0,3354,506,506,"d_q_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",-0.009715469341824058
104,105,-15.595246531778251,5.317980722452376e-09,0,5.3942569522291706e-08,522,1335.0,3387,506,506,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.029659953660663776
105,106,-15.59524653359761,1.8193588857684517e-09,0,5.2123210636523254e-08,594,1348.0,3420,506,506,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0012126110584073215
106,107,-15.595246535349093,1.7514825145781288e-09,0,5.0371728121945125e-08,445,1361.0,3453,506,506,"d_q_exc_[5, 12]_[8, 9]","[[5, 12], [8, 9]]",-0.0009355913529505466
107,108,-15.59524653604392,6.948273068019262e-10,0,4.96769008151432e-08,577,1374.0,3486,517,517,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.003799130368964969
108,109,-15.595246542471038,6.427118393048659e-09,0,4.324978242209454e-08,626,1387.0,3519,517,517,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.010271664660039872
109,110,-15.595246543945201,1.4741630138814799e-09,0,4.177561940821306e-08,600,1400.0,3552,517,517,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.006565406330541253
110,111,-15.595246549044527,5.09932540637692e-09,0,3.667629400183614e-08,543,1413.0,3585,528,528,"d_q_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",-0.015580827108985217
111,112,-15.595246551655084,2.6105571038215203e-09,0,3.406573689801462e-08,685,1426.0,3618,528,528,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0066874100691636405
112,113,-15.595246555518472,3.863387831870568e-09,0,3.020234906614405e-08,466,1439.0,3651,539,539,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.005045273000672175
113,114,-15.595246558374301,2.8558293507785493e-09,0,2.7346519715365503e-08,418,1452.0,3684,550,550,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.001541571596870022
114,115,-15.595246562994978,4.6206771742163255e-09,0,2.2725842541149177e-08,583,1465.0,3717,550,550,"d_q_exc_[5, 12]_[10, 11]","[[5, 12], [10, 11]]",0.016913758355371268
115,116,-15.595246564351667,1.3566889833782625e-09,0,2.1369153557770915e-08,376,1478.0,3750,561,561,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",9.752847637129119e-06
116,117,-15.595246568507163,4.155495503255224e-09,0,1.721365805451569e-08,790,1491.0,3783,561,561,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.001249232735494104
117,118,-15.595246568930508,4.233449146795465e-10,0,1.6790313139836144e-08,591,1504.0,3816,572,572,"d_q_exc_[0, 5]_[2, 13]","[[0, 5], [2, 13]]",0.003299787672634164
118,119,-15.595246569003024,7.251621525483642e-11,0,1.6717796924581307e-08,397,1517.0,3849,583,583,"d_q_exc_[0, 13]_[1, 12]","[[0, 13], [1, 12]]",-0.010100080076338579
119,120,-15.595246569050031,4.700773104104883e-11,0,1.667078919354026e-08,375,1530.0,3882,594,594,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",-0.017061110397525812
120,121,-15.595246569055194,5.162092975297128e-12,0,1.666562710056496e-08,87,1543.0,3915,605,605,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",-0.016086186686479487
121,122,-15.595246569059368,4.1744385725905886e-12,0,1.666145266199237e-08,30,1556.0,3948,616,616,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",-0.01607465611547153
122,123,-15.595246569765317,7.059490769734111e-10,0,1.595550358501896e-08,527,1569.0,3981,616,616,"d_q_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",0.003520675948067602
123,124,-15.595246569927431,1.6211387787734566e-10,0,1.5793389707141614e-08,348,1582.0,4014,616,616,"d_q_exc_[3, 10]_[6, 7]","[[3, 10], [6, 7]]",0.001524945774622981
124,125,-15.595246570293693,3.6626168764541944e-10,0,1.5427128019496195e-08,477,1595.0,4047,627,627,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",0.0067781412618172
125,126,-15.595246570562312,2.686189048972665e-10,0,1.5158509114598928e-08,431,1608.0,4080,638,638,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-0.007433782328729302
126,127,-15.595246570565944,3.632649736573512e-12,0,1.5154876464862355e-08,116,1621.0,4113,649,649,"d_q_exc_[0, 13]_[1, 12]","[[0, 13], [1, 12]]",0.00881601184463756
127,128,-15.59524657112814,5.621956233881065e-10,0,1.4592680841474248e-08,462,1634.0,4146,649,649,"d_q_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.011417408917295405
128,129,-15.595246572894677,1.7665371387920459e-09,0,1.2826143702682202e-08,502,1647.0,4179,649,649,"d_q_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",0.007344621358353215
129,130,-15.595246572896597,1.9202417433916708e-12,0,1.282422346093881e-08,21,1660.0,4212,660,660,"d_q_exc_[0, 3]_[1, 10]","[[0, 3], [1, 10]]",-0.058044504922407106
130,131,-15.595246572897974,1.3766765505351941e-12,0,1.2822846784388275e-08,58,1673.0,4245,671,671,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",-0.008702998465835938
131,132,-15.595246573713,8.150262686967835e-10,0,1.2007820515691492e-08,683,1686.0,4278,682,682,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",0.0071904763354999025
132,133,-15.595246573772506,5.950617776306899e-11,0,1.1948314337928423e-08,356,1699.0,4311,693,693,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.005110448442328858
133,134,-15.595246574874004,1.1014975598300225e-09,0,1.08468167780984e-08,531,1712.0,4344,693,693,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.02647631936170452
134,135,-15.59524657492089,4.688693877596961e-11,0,1.079992983932243e-08,291,1725.0,4377,704,704,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.002838191480356236
135,136,-15.595246575203142,2.82250667282824e-10,0,1.0517679172039607e-08,551,1738.0,4410,704,704,"d_q_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",0.009893693572825516
136,137,-15.595246575238214,3.5072389437118545e-11,0,1.0482606782602488e-08,277,1751.0,4443,715,715,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",-0.018240659676466223
137,138,-15.595246576050998,8.127845063654604e-10,0,9.669822276237028e-09,712,1764.0,4476,726,726,"d_q_exc_[0, 13]_[1, 4]","[[0, 13], [1, 4]]",-0.05158709255616894
138,139,-15.595246576596413,5.454143803262923e-10,0,9.124407895910736e-09,553,1777.0,4509,737,737,"d_q_exc_[0, 13]_[1, 12]","[[0, 13], [1, 12]]",0.0166014180536448
139,140,-15.595246577131762,5.353495424742505e-10,0,8.589058353436485e-09,548,1790.0,4542,748,748,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",-0.0035215524349631925
