INFO 2021-03-17 18:43:06,151 q_exc type, prob_2=1e-05, time_cx=0, backend=<class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-17 18:43:06,152 Length of q_exc based ansatz is 3
INFO 2021-03-17 18:43:06,153 Noise model generated for prob_1 = 0, prob_2=1e-05, prob_meas=1e-05 time_single_gate=0, time_cx=0, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-17 18:43:06,153 Backend is <class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-17 18:43:06,155 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 3-----
-----Statevector and energy calculated using <class 'src.backends.QiskitSimBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-17 18:43:52,723 Iteration: 104. Energy -2.137416991221906.  Energy change -1.948e-03 , Iteration duration: 0.4914231300354004 Params: [-0.196338   -0.02077273 -0.0778264 ]
INFO 2021-03-17 18:43:53,247 Iteration: 105. Energy -2.1384495374967285.  Energy change -1.033e-03 , Iteration duration: 0.5043656826019287 Params: [-0.19183551 -0.02629672 -0.07680076]
INFO 2021-03-17 18:43:53,724 Iteration: 106. Energy -2.136047865111947.  Energy change 2.402e-03 , Iteration duration: 0.522590160369873 Params: [-0.17192324 -0.01697073 -0.10695697]
INFO 2021-03-17 18:43:54,086 Iteration: 107. Energy -2.137895528529673.  Energy change -1.848e-03 , Iteration duration: 0.4768855571746826 Params: [-0.20061161 -0.02857962 -0.11629497]
INFO 2021-03-17 18:43:54,501 Iteration: 108. Energy -2.139306558821457.  Energy change -1.411e-03 , Iteration duration: 0.3679850101470947 Params: [-0.16619253 -0.03477332 -0.09797486]
INFO 2021-03-17 18:43:54,865 Iteration: 109. Energy -2.1394855178741796.  Energy change -1.790e-04 , Iteration duration: 0.4091670513153076 Params: [-0.15157191 -0.04198953 -0.09661306]
INFO 2021-03-17 18:43:55,226 Iteration: 110. Energy -2.1417305378424554.  Energy change -2.245e-03 , Iteration duration: 0.36409974098205566 Params: [-0.19075611 -0.04760651 -0.08618222]
INFO 2021-03-17 18:43:55,621 Iteration: 111. Energy -2.1426440619535025.  Energy change -9.135e-04 , Iteration duration: 0.3612184524536133 Params: [-0.19703373 -0.05781844 -0.07925731]
INFO 2021-03-17 18:43:56,224 Iteration: 112. Energy -2.140041469865727.  Energy change 2.603e-03 , Iteration duration: 0.3968620300292969 Params: [-0.1596825  -0.05549017 -0.05215245]
INFO 2021-03-17 18:43:56,695 Iteration: 113. Energy -2.1417317133896203.  Energy change -1.690e-03 , Iteration duration: 0.6024518013000488 Params: [-0.14702325 -0.07723537 -0.07521445]
INFO 2021-03-17 18:43:57,154 Iteration: 114. Energy -2.140873735442551.  Energy change 8.580e-04 , Iteration duration: 0.4716155529022217 Params: [-0.18425441 -0.0850398  -0.04113641]
INFO 2021-03-17 18:43:57,610 Iteration: 115. Energy -2.1439708775227277.  Energy change -3.097e-03 , Iteration duration: 0.4586789608001709 Params: [-0.1925251  -0.0912389  -0.07825299]
INFO 2021-03-17 18:43:58,098 Iteration: 116. Energy -2.1439174886818058.  Energy change 5.339e-05 , Iteration duration: 0.4570164680480957 Params: [-0.20347263 -0.10315515 -0.08695317]
INFO 2021-03-17 18:43:58,687 Iteration: 117. Energy -2.1419334796913314.  Energy change 1.984e-03 , Iteration duration: 0.48766279220581055 Params: [-0.17346698 -0.06582201 -0.11401342]
INFO 2021-03-17 18:43:59,069 Iteration: 118. Energy -2.142290561150364.  Energy change -3.571e-04 , Iteration duration: 0.5921170711517334 Params: [-0.22832729 -0.06601753 -0.10580136]
